BookID,BookTItle,CopyRight,BookCatagory,bookPrice,BookINStock,BookInOrder,Memo
1032, The Busy Executive Database Guide,1991, business,19.99,1389,no,An overview of available database systems with emphasis on common business applications. Illustrated.
1111,Cooking with Computers: Surreptitious Balance Sheets,1991,business,11.95,1389,no, Helpful hints on how to use your electronic resources to the best advantage.
2075,You Can Combat Computer Stress!,1991,business,2.99,736,no, The latest medical and psychological techniques for living with the electronic office. Easy-to-understand explanations.
7832,Straight Talk About Computers,1991,business,19.99,1389,no, Annotated analysis of what computers can do for you: a no-hype guide for the critical user.
2222,Silicon Valley Gastronomic Treats,1991,mod_cook,19.99,877,no, Favorite recipes for quick easy  and elegant meals.
3021,The Gourmet Microwave,1991,mod_cook,2.99,877,no, Traditional French gourmet recipes adapted for modern microwave cooking.
3026,The Psychology of Computer Cooking,2008,UNDECIDED,0,877,no,no
1035,But Is It User Friendly?,1991,Computers,22.95,1389,no, A survey of software for the naive user focusing on the friendliness of each.
8888,Secrets of Silicon Valley,1994,Computers,20,1389,no,Muckraking reporting on the world\s largest computer hardware and software manufacturers.
9999,Net Etiquette,2008,Computers,0,1389,no, A must-read for computer conferencing.
1372,Computer Phobic AND Non-Phobic Individuals,1991,psychology,21.59,877,no, A must for the specialist this book examines the difference between those who hate and fear computers and those who don't.
2091,Is Anger the Enemy?,1991,psychology,10.95,736,no, Carefully researched study of the effects of strong emotions on the body. Metabolic charts included.
2106,Life Without Fear,1991,psychology,7,736,no, New exercise meditation and nutritional techniques that can reduce the shock of daily interactions. Popular audience. Sample menus included exercise video available separately.
3333,Prolonged Data Deprivation: Four Case Studies,1991,psychology,19.99,736,no, What happens when the data runs dry?  Searching evaluations of information-shortage effects.
7777,Emotional Security: A New Algorithm,1991,psychology,7.99,736,no, Protecting yourself and your loved ones from undue emotional stress in the modern world. Use of computer and nutritional aids emphasized.
3218,Cooking Secrets of the Mediterranean,1991,trad_cook,20.95,877,no, Profusely illustrated in color this makes a wonderful gift book for a cuisine-oriented friend.
4203,Fifty Years in Buckingham Palace Kitchens,1991,trad_cook,11.95,877,no, More anecdotes from the Queen's favorite cook describing life among English royalty. Recipes  techniques  tender vignettes.
7778,Sushi  Anyone?,1991,trad_cook,14.99,877,no, Detailed instructions on how to make authentic Japanese sushi in your spare time.
